"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","556","Create user","LMS service","Sun Sep 21 10:21:21 GMT 2025","passed","Sun Sep 21 10:21:21 GMT 2025","Create entity","Users","",""
"","290","Update exercise","LMS service","Sun Sep 21 10:21:16 GMT 2025","passed","Sun Sep 21 10:21:17 GMT 2025","Update entity","Exercises","",""
"","540","Create user","LMS service","Sun Sep 21 10:21:20 GMT 2025","passed","Sun Sep 21 10:21:21 GMT 2025","Create entity","Users","",""
"","298","Create course","LMS service","Sun Sep 21 10:21:15 GMT 2025","passed","Sun Sep 21 10:21:16 GMT 2025","Create entity","Courses","",""
"","294","Create exercise","LMS service","Sun Sep 21 10:21:16 GMT 2025","passed","Sun Sep 21 10:21:16 GMT 2025","Create entity","Exercises","",""
"","26","Get courses","LMS service","Sun Sep 21 10:21:15 GMT 2025","passed","Sun Sep 21 10:21:15 GMT 2025","Get entities","Courses","",""
"","11","Get user me","LMS service","Sun Sep 21 10:21:22 GMT 2025","passed","Sun Sep 21 10:21:22 GMT 2025","Get entity","Users","",""
"","286","Create user","LMS service","Sun Sep 21 10:21:21 GMT 2025","passed","Sun Sep 21 10:21:21 GMT 2025","Create entity","Users","",""
"","307","Update course","LMS service","Sun Sep 21 10:21:14 GMT 2025","passed","Sun Sep 21 10:21:14 GMT 2025","Update entity","Courses","",""
"","17","Get exercise","LMS service","Sun Sep 21 10:21:17 GMT 2025","passed","Sun Sep 21 10:21:17 GMT 2025","Get entity","Exercises","",""
"","268","Create file with empty directory","tests.files","Sun Sep 21 10:21:20 GMT 2025","passed","Sun Sep 21 10:21:20 GMT 2025","Validate entity","test_files","",""
"","287","Delete exercise","LMS service","Sun Sep 21 10:21:18 GMT 2025","passed","Sun Sep 21 10:21:18 GMT 2025","Delete entity","Exercises","",""
"","260","Get file with incorrect file id","tests.files","Sun Sep 21 10:21:20 GMT 2025","passed","Sun Sep 21 10:21:21 GMT 2025","Validate entity","test_files","",""
"","20","Delete file","tests.files","Sun Sep 21 10:21:19 GMT 2025","passed","Sun Sep 21 10:21:19 GMT 2025","Delete entity","test_files","",""
"","550","Login with correct email and password","LMS service","Sun Sep 21 10:21:13 GMT 2025","passed","Sun Sep 21 10:21:14 GMT 2025","Login","Authentication","",""
"","268","Create file with empty filename","tests.files","Sun Sep 21 10:21:19 GMT 2025","passed","Sun Sep 21 10:21:19 GMT 2025","Validate entity","test_files","",""
"","18","Get exercises","LMS service","Sun Sep 21 10:21:18 GMT 2025","passed","Sun Sep 21 10:21:18 GMT 2025","Get entities","Exercises","",""
